CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;ROADNAME;FIRSTNAME;SECONDNAME;AREA_REF;AREA_NAME
11;25;20075;L;5;0;;elezárenská;1. máje;Sokola Tùmy;31014;Ostrava
11;25;38487;L;5;0;;Pøíkrá;Kaplická;Køíová;30195;Èeskı Krumlov
11;25;45343;L;7;0;;;Staøíè;D56 Ostrava;30812;Staøíè
11;25;38226;L;5;0;;Václavkova;Laurinova;Na Radouèi;29378;Mladá Boleslav
11;25;41872;L;5;0;;propojka Brnìnská/Cukrovarská;Brnìnská;Cukrovarská;34151;Vyškov
11;25;5105;L;5;0;;Kotíkovská;Na Chmelnicích;Karlovarská;31011;Plzeò
11;25;15124;L;1;4;III/43312;;Tištín;Doloplazy;164;Prostìjov
11;25;43990;L;7;0;;;II/198 Mlınec;D5 Rozvadov;31386;Pøimda
11;25;51609;L;7;0;;;I/48 Frıdek-Místek;II/648 Èeskı Tìšín-jih;34664;Èeskı Tìšín
11;25;50658;L;7;0;;;I/6 Ostrov;Rybáøe;31027;Karlovy Vary
11;25;510;L;5;0;;Karmelitská;Malá Strana;Smíchov;199;Praha 1
11;25;38077;L;5;0;;Anglická;Holandská;Dánská;29045;Kladno
11;25;24195;L;7;0;;;D1 Praha;D0 Mladá Boleslav;31757;Nupaky
11;25;43575;L;7;0;;;D48 Frıdek-Místek;D1 Ostrava;28659;Bìlotín
11;25;40023;L;5;0;;Prùbìná;Slatinická;Františka Halase;31964;Most
11;25;21051;L;1;4;III/24047;;Vrakov;Roudnice nad Labem;132;Litomìøice
11;25;9130;L;1;3;II/190;;Domalice;Sušice;83;Plzeòskı kraj
11;25;44258;L;7;0;;;Bøezová;D6 Karlovy Vary;31312;Bøezová
11;25;9260;L;1;3;II/324;;Podìbrady;Pardubice;10;Èesko
11;25;54575;L;5;0;;Jiráskova;Smetanovo nám.;V. K. Jeøábka;32935;Litomyšl
11;25;44060;L;7;0;;;I/27 Plzeò-Bory;D5 Rozvadov;31011;Plzeò
11;25;45055;L;7;0;;;D35 Ostrava;I/46 Olomouc;28507;Olomouc
11;25;26644;L;5;0;;Pod Dìkankou;Na høebenech II;Na Klikovce;213;Praha 4
11;25;45369;L;7;0;;;D56 Ostrava;Nová Bìlá;31014;Ostrava
11;25;35189;L;5;0;;Filmová;K Majáku;Vrchy;33493;Zlín
11;25;51048;L;7;0;;;Liberec-Rochlice;I/14 Jablonec nad Nisou;31657;Liberec
