CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;ROADNAME;FIRSTNAME;SECONDNAME;AREA_REF;AREA_NAME;ROA_LCD;ROA_TYPE;NEG_OFF;POS_OFF
11;25;673;L;3;0;I/23;;Jindøichùv Hradec;Tøebíè;10;Èesko;342;L1.2;672;674
11;25;674;L;3;0;I/23;;Tøebíè;Brno;55;Jihovýchod;342;L1.2;673;0
11;25;1192;L;3;0;II/150;;Votice;Havlíèkùv Brod;10;Èesko;23968;L1.3;0;809
11;25;809;L;3;0;II/150;;Kunštát;Prostìjov-Domamyslice;10;Èesko;23968;L1.3;1192;810
11;25;810;L;3;0;II/150;;Prostìjov-Domamyslice;Prostìjov-centrum;33852;Prostìjov;23968;L1.3;809;812
11;25;812;L;3;0;II/150;;Prostìjov-centrum;Pøerov;91;Olomoucký kraj;23968;L1.3;810;26470
11;25;26470;L;3;0;II/150;;Pøerov;Valašské Meziøíèí;56;Støední Morava;23968;L1.3;812;0
11;25;37591;L;3;0;II/315;;Holice;Ústí nad Orlicí;88;Pardubický kraj;9251;L1.3;0;37592
11;25;37592;L;3;0;II/315;;Ústí nad Orlicí;Unièov;10;Èesko;9251;L1.3;37591;0
11;25;37586;L;3;0;II/112;;Tøebíè;Pelhøimov;89;Vysoèina;1154;L1.3;0;37587
11;25;37587;L;3;0;II/112;;Pelhøimov;Benešov;10;Èesko;1154;L1.3;37586;0
